,,Table B,,,,,,,,,,
95a9aae8-4bde-46bb-9991-c61dd12320de,TVyNovelas,Editorial Televisa SA de CV,Kindle Edition,Television eMagazines,2 ratings,2 ,27,21,2,,,
005edc86-d535-4c06-855c-d9a68cb26156,Adirondack Explorer,Adirondack Explorer,Kindle Edition,NA,2 ratings,2 ,19,2,2,,,
be814897-26e9-4b6e-844d-01d6dbd8d345,Vintage Rock,Anthem Publishing,Kindle Edition,Music eMagazines,6 ratings,6 ,17,16,2,,,
96cc54d2-3e67-47b9-927e-ac6f2992e855,Steelers Digest,Dollard Publishing Company,Kindle Edition,Sports & Leisure eMagazines,23 ratings,23 ,26,27,3,,,
1133033d-ebb9-45d6-9a66-e833a8fc1d43,Highlights Hello,"Highlights for Children, Inc.",Kindle Edition,NA,197 ratings,197 ,29,2,4,,,
3b4f15eb-e8ef-4e37-ac31-5f1f81c22d6e,Fast Car,Kelsey Publishing,Kindle Edition,Automotive eMagazines,3 ratings,3 ,17,21,2,,,
ae5fb15a-1978-489f-9319-31b4fda919d7,Macworld UK,IDG UK,Kindle Edition,NA,2 ratings,2 ,6,2,2,,,
f76b3d85-9784-487a-97eb-277d60f1a50f,GUNS Magazine,FMG Publications,Kindle Edition,Hunting & Firearms eMagazines,69 ratings,69 ,16,29,3,,,
714b05d4-aa4d-4b6a-a149-b2980f79b88b,Perfect Wedding,Immediate Media Co Ltd,Kindle Edition,Fashion & Style eMagazines,1 rating,1,22,26,1,,,
c6cb0505-06e4-4ba7-8a12-5e5495212ed2,Practical Classics,Bauer Consumer Media,Kindle Edition,Automotive eMagazines,30 ratings,30 ,20,21,3,,,
5f439dba-a7c2-4f9f-a25a-b8185f0c8312,Blouin Art+Auction,Louise Blouin Media,Kindle Edition,Arts eJournals,1 rating,1,19,14,1,,,
5af4b606-f517-4f4b-ba24-eafcab02d4cd,Old Cars Report Price Guide,"Active Interest Media (Cruz Bay Publishing, Inc)",Kindle Edition,Automotive eMagazines,27 ratings,27 ,48,21,3,,,
c1aa3db6-7984-44c7-a169-55fd43fa87ef,Minnesota Business magazine,Tiger Oak Publications,Kindle Edition,Business & Investing eMagazines,1 rating,1,22,31,1,,,
b6fcf48d-88fe-4269-ac54-9f48418b9623,Journal of Global Business & Technology,Global Business & Tech Assoc,Print Magazine,Science & Nature Technology Magazines,0 ratings,0 ,28,37,2,,,
3d1d3b5a-7bac-4d95-b41e-7ab98cda9aa0,Aurorean,Encircle Publications,Print Magazine,Mystery Magazines,1 rating,1,21,17,1,,,
126d97db-c6dd-40d7-83dd-534c515bfbc2,New York Amsterdam News,Powell-Savory Corp,Print Magazine,Northeastern United States Travel,1 rating,1,18,33,1,,,
57f43584-25c5-43ff-bb6a-cd313878aca2,Monumenta Nipponica Journal : Studies in Japanese Culture,Monumenta Nipponica/Sophia Unv,Print Magazine,Science & Nature Essays & Commentary Magazines,0 ratings,0 ,30,46,2,,,
b29192ce-e711-4f5c-a9e6-f44545e2437c,Alaska History,Alaska Historical Society,Print Magazine,History Trade Journals,0 ratings,0 ,25,22,2,,,
f476d4ca-0776-4a0b-badf-9c02dbb51155,Men's Journal,A360 Media Llc,Print Magazine,NA,0 ratings,0 ,14,2,2,,,
c23a6c08-ecd1-44eb-886d-373a64cd4dd4,2017 Round-Up Special Issue Series,Auto Roundup Publ Inc,Print Magazine,Automotive Magazines,0 ratings,0 ,21,20,2,,,
d83b101e-62c4-4f10-a175-16b7fb8a4c79,Perfect Wedding,Immediate Media Co/Vineyard Hs,Print Magazine,NA,0 ratings,0 ,30,2,2,,,
61c8dcce-7644-44f6-ae83-51c00aaf1c8f,Gifts and Decorative Accessories,Progressive Business Media,Print Magazine,Farming Magazines,0 ratings,0 ,26,17,2,,,
9566883c-eec5-426d-a58c-8fd13751a330,Still Point Arts Quarterly,Shanti Arts Llc,Print Magazine,Art & Art History Magazines,1 rating,1,15,27,1,,,
02d64667-1a2f-402d-a5a0-7afbd4badbc5,Meine Familie Und Ich,Meine Familie Und Ich Verlag,Print Magazine,Lifestyle & Communities Magazines,3 ratings,3 ,28,33,2,,,
ae0bd66f-b99a-4fdd-9ce4-20826e0bde12,Florida Running & Triathlon,Florida Running & Triathlon,Print Magazine,Lifestyle & Communities Magazines,0 ratings,0 ,27,33,2,,,
e1bca5e8-208b-40e6-b633-891e0b3a34e9,Hotel Management,Questex Media Group,Print Magazine,NA,0 ratings,0 ,19,2,2,,,
27b45c0e-3c42-4978-ac2b-756d6eead0cb,Chopchop Magazine - Classroom Edition - 30 Copies,Chopchop Magazine,Print Magazine,Career Magazines,13 ratings,13 ,17,16,3,,,
efbc172f-6dde-4468-a300-78e8605c125a,Outlook By the Bay,Outlook By the Bay,Print Magazine,Farming Magazines,2 ratings,2 ,18,17,2,,,
5125907b-b2f9-4c50-9500-d1f02ba97fd0,Time Out New York Kids,Time Out New York Partners,Print Magazine,Lifestyle & Communities Magazines,0 ratings,0 ,26,33,2,,,
16586369-01d9-471d-b743-3e9dde8f0875,Sonic Super Special,Archie Comic Publications,Print Magazine,Humor Magazines,0 ratings,0 ,25,15,2,,,
6c8ec43f-0bfa-40a8-a336-79b452fcf6d9,Strad - England,Newsquest Specialist Media,Print Magazine,Puzzles & Games Magazines,0 ratings,0 ,26,25,2,,,
8c518c35-081f-45dc-85f0-4b5e0cb21732,Texas Runner & Triathlete,Runner Triathlete News,Print Magazine,Running Magazines,0 ratings,0 ,22,17,2,,,
340f83cc-5d67-4086-bc39-bca57e4d97bd,Dreamscapes Travel & Lifestyle Magazine,Globelite Travel Marketing Inc,Print Magazine,Africa Travel Magazines,0 ratings,0 ,30,23,2,,,
1018a9c6-461b-436a-9ebd-2fc5c0df208e,Canadas History Magazine,Canada History Society,Print Magazine,Science & Nature Essays & Commentary Magazines,1 rating,1,22,46,1,,,
d61f6f16-f175-4306-a54a-94bd407d12e8,Searching Together,Searching Together,Print Magazine,NA,0 ratings,0 ,18,2,2,,,
04709829-3e91-45d7-8e1b-3d0d64218888,Classic Plant and Machinery,Kelsey Publishing Ltd,Print Magazine,NA,0 ratings,0 ,21,2,2,,,
52f0c49e-6dae-4a6d-b34b-d0470a3109fa,Americas Quarterly,Americas Society Inc,Print Magazine,Chemistry Magazines,0 ratings,0 ,20,19,2,,,
b37e33e3-53c4-4756-95a4-fe1b141a9fe9,Celebrating the Eucharist Liturgical Text Edition,Liturgical Press,Print Magazine,Occult Magazines,0 ratings,0 ,16,16,2,,,
15dd85ab-0d1c-4635-bee5-26d26a7552c2,Tate etc,Tate etc,Print Magazine,NA,0 ratings,0 ,8,2,2,,,
387e7e68-6666-4201-b794-cc5d3e9920cf,Grazia - England,Bauer Consumer Media Ltd,Print Magazine,Women's Lifestyle Magazines,2 ratings,2 ,24,27,2,,,
f8df78f7-d76c-4586-ae7e-67f59e353501,Vocable - Spanish Edition,Vocable Abonnements,Print Magazine,"Literary, Sci-Fi & Mystery Magazines",0 ratings,0 ,19,36,2,,,
a130359c-872b-44c4-ab4f-f9f89027e6be,Toy Soldier and Model Figure,Ashdown Inc,Print Magazine,Lifestyle & Communities Magazines,1 rating,1,11,33,1,,,
299b45b0-f86e-474e-ab75-55b2e5bc338b,Spa Business,Leisure Media Company Ltd,Print Magazine,NA,0 ratings,0 ,25,2,2,,,
4d329983-ee5d-4fc0-ad52-1f6f36440e5a,Xiao Shuo Yue Bao = Xiaoshuo Yuebao = Fiction Monthly,China Intl Book Trading Corp,Print Magazine,NA,0 ratings,0 ,28,2,2,,,
5adf5454-dc2f-4eec-b9e4-24ca02b60603,Shouhuo = Shou Huo = Harvest,China Intl Book Trading Corp,Print Magazine,NA,0 ratings,0 ,28,2,2,,,
27566f5b-fcb2-481d-9868-969d29411f89,Plate,Marketing & Technology Group,Print Magazine,Recipes & Techniques Magazines,0 ratings,0 ,28,30,2,,,
4661bf91-444c-4cae-980e-4a688ddbb7a1,Railways Illustrated,Mortons Media Group Ltd,Print Magazine,NA,2 ratings,2 ,23,2,2,,,
65d79eaf-6616-442b-8eb0-0bef7ad49fea,Kashrus,Kashrus,Print Magazine,Occult Magazines,1 rating,1,7,16,1,,,
50904a83-89a2-497a-b00a-0bc527ee642f,Cattleman,Texas & Southwestern Cattle,Print Magazine,Chemistry Magazines,0 ratings,0 ,27,19,2,,,
4854d68d-8f17-48f9-a925-9423c85375ca,Prima - France,Prisma Presse,Print Magazine,Africa Travel Magazines,0 ratings,0 ,13,23,2,,,
2160b1d0-d58a-4885-a988-e3eb0dd7cbb1,3-D World,Future Publishing Ltd,Print Magazine,Europe Travel Magazines,21 ratings,21 ,21,23,3,,,
646e9917-19e2-47a7-b46b-f9b46a46b2f5,Garden News,Bauer Consumer Media Ltd,Print Magazine,Farming Magazines,23 ratings,23 ,24,17,3,,,
ac4b0307-8585-4152-831b-e6d23728e8c2,Future Music,Future Publishing Ltd,Print Magazine,Graphic Design Magazines,27 ratings,27 ,21,24,3,,,
40178211-3844-4ff9-ba42-3d615c535a55,Pool & Spa News,Hanley Wood Inc Publ,Print Magazine,Career Magazines,0 ratings,0 ,20,16,2,,,
fb74e8f3-b22c-4b4d-abdc-ff803208ae51,Olochlainns Personal Journal of Irish Families,Irish Genealogical Foundation,Print Magazine,NA,0 ratings,0 ,29,2,2,,,
cddc9cce-0a9f-4a24-b77a-f152bf52434f,International Socialism,International Socialism,Print Magazine,South America Travel Magazines,0 ratings,0 ,23,30,2,,,
c26b56d4-6576-45aa-aae6-037fbc6091c8,Geo - France,Prisma Presse,Print Magazine,Europe Travel Magazines,2 ratings,2 ,13,23,2,,,
79c7e1be-59c3-482b-b1ac-5ca7b2b28c0d,Dolls House Magazine,Gmc Publications Ltd,Print Magazine,Lifestyle & Communities Magazines,1 rating,1,20,33,1,,,
733c9687-f579-4522-ae3c-dc268af115c9,Sewing World,Mytimemedia Ltd,Print Magazine,NA,3 ratings,3 ,15,2,2,,,
f1bc09d0-83a8-4176-9adb-a126452f70a3,Popi,Bayard Presse,Print Magazine,Europe Travel Magazines,1 rating,1,13,23,1,,,
364de1bd-0277-4623-98c2-8983d205ec74,Kitchens Bedrooms & Bathrooms Magazine,Taylist Media Ltd,Print Magazine,South America Travel Magazines,0 ratings,0 ,17,30,2,,,
e704a000-9e60-4d35-b51a-6f61cde953b3,Elle Canada,Ko Media,Print Magazine,Beauty Magazines,6 ratings,6 ,8,16,2,,,
8806d742-ce6f-4a54-9b9e-4f12a37462b7,Wellbeing,Universal Magazines Pty Ltd,Print Magazine,Psychology & Counseling Magazines,43 ratings,43 ,27,33,3,,,
f9f5916f-365f-4bb7-9da9-48cb35c64a36,Country Walking,Bauer Consumer Media Ltd,Print Magazine,Baseball Magazines,27 ratings,27 ,24,18,3,,,
1abfa86a-ecbf-4304-b50a-2d1975f32fba,When Saturday Comes,When Saturday Comes/E1 Bus Ctr,Print Magazine,Europe Travel Magazines,1 rating,1,30,23,1,,,
d0884774-4a57-4973-9246-1f2725caf9d8,Vogue Australia,News Life Media,Print Magazine,Australia Travel Magazines,1 rating,1,15,26,1,,,
9556fc03-d206-47fd-a3c6-3c19b299aa2f,Software Engineering Notes,Assn for Computing Machinery,Print Magazine,Computers & Internet Magazines,1 rating,1,28,30,1,,,
bf305e52-7c19-4a0d-ab7b-079371eca66b,Sea Technology,Compass Publications Inc,Print Magazine,Science & Nature Technology Magazines,0 ratings,0 ,24,37,2,,,
29ddabd9-d1b5-4ab4-aadb-2997accf4aa1,Saddle & Bridle,Saddle & Bridle,Print Magazine,NA,2 ratings,2 ,15,2,2,,,
6d9bfee4-51bb-4448-a15f-27bad9765922,Roads & Bridges Magazine,Scranton Gillette Commun Inc,Print Magazine,NA,1 rating,1,28,2,1,,,
549c68ed-cc6c-4774-af86-47205b265b63,Real Estate Weekly,Hagedorn Communications,Print Magazine,Business Management Magazines,0 ratings,0 ,23,29,2,,,
f6056538-f76c-4102-863d-d298ff32f4ae,Plays,Plays Mag/Sterling Partners in,Print Magazine,Literary Magazines & Journals,0 ratings,0 ,30,29,2,,,
765ad982-52f9-410e-bfca-70107a3c974d,Numero - France,Groupe Alain Ayache,Print Magazine,Europe Travel Magazines,1 rating,1,19,23,1,,,
76ce74a8-36b8-4da8-abbc-0e9d1b66bfd6,Jewish Currents,Assn Promo Jewish Secularism,Print Magazine,Science & Nature Essays & Commentary Magazines,2 ratings,2 ,28,46,2,,,
45e9d1fb-2d06-4bcb-a4eb-d26c4797636b,Hadassah Magazine,Womens Zionist Org of America,Print Magazine,History Trade Journals,3 ratings,3 ,29,22,2,,,
006af50d-e46a-4239-a53d-25164395597d,Georgia Trend,Georgia Trend,Print Magazine,Australia Travel Magazines,0 ratings,0 ,13,26,2,,,
ee158583-0aeb-4eee-ad31-d9d020ec1189,Gala - France,Prisma Presse,Print Magazine,Europe Travel Magazines,1 rating,1,13,23,1,,,
52816a0f-7d04-41a2-bb8a-c3b7eb0665e4,Fhm - Uk Edition,Bauer Consumer Media Ltd,Print Magazine,"Health, Fitness & Wellness Magazines",2 ratings,2 ,24,36,2,,,
8cc45618-55de-498f-a4c3-698a817a7dad,Estudios - Mexico,Inst Tecnologico Autonomo Mexc,Print Magazine,Europe Travel Magazines,0 ratings,0 ,30,23,2,,,
e49de907-0183-4116-bba0-f582ea37c531,Careers & the Disabled,Equal Opportunity Publ Inc,Print Magazine,Business Management Magazines,0 ratings,0 ,26,29,2,,,
9ce67005-61fa-455c-b16b-d41ab8ffd9a2,Canadian Art,Canadian Art,Print Magazine,Art & Art History Magazines,0 ratings,0 ,12,27,2,,,
d30e6c04-7d99-409b-8104-034edb07f648,Automotive News,Crain Communications Inc,Print Magazine,Motorcycle Magazines,1 rating,1,24,20,1,,,
39abc4a2-c74b-40f0-a754-0942209798a9,Al Jamila,Hh Saudi Research Marketing UK,Print Magazine,Women's Lifestyle Magazines,0 ratings,0 ,30,27,2,,,
f24d3053-d177-4a63-963d-a8b7d27ab154,Ability Magazine,C R Cooper,Print Magazine,Alternative Medicine Magazines,1 rating,1,10,30,1,,,
db819f2e-2e03-4b49-bee0-fa1432103b06,Colorado Biz,"Wiesner Media, LLC",Print Magazine,Western United States Travel,3 ratings,3 ,18,28,2,,,
cc23b20c-291e-48ae-8776-13445cb8b567,Stand Up Paddler : Sup - 1 Year Auto Renew,The Enthusiast Network,Print Magazine,NA,6 ratings,6 ,22,2,2,,,
acc4f34f-ca1c-48a8-aa39-b3734006ee46,"Rolling Stone Magazine #1220 October 23, 2014 In Defense Of Obama",Rolling Stone LLC / Jann S. Wenner,Single Issue Magazine,NA,7 ratings,7 ,34,2,2,,,
21d48a19-f5a0-466f-b232-560ba79ffea2,Daredevil,Marvel Entertainment Group Inc,Print Magazine,NA,0 ratings,0 ,30,2,2,,,
c7991e1e-a58b-4ac3-9af2-696052b33cf2,Glitter,Globe New Media Inc,Print Magazine,NA,7 ratings,7 ,19,2,2,,,
f3bbfde9-f979-4d1c-ac61-27667702818c,Sound & Vision (1-year automatic renewal),Bonnier Corpiration,Print Magazine,Electronics Magazines,9 ratings,9 ,19,21,2,,,
0f61d472-5a9c-4290-9dcd-67b2e42af333,Glamour - Paris - French ed,Editions Conde Nast,Print Magazine,NA,0 ratings,0 ,19,2,2,,,
b5b5b8b2-48f8-4c2a-a19a-c1fde89c5541,Hobby Farm Home,BowTie Inc.,Electronics,Farming Magazines,17 ratings,17 ,11,17,3,,,
6b6132ff-e468-4c00-8f72-7a7e04beb1df,Flex (1-year) [Print + Kindle],NA,Unknown Binding,NA,17 ratings,17 ,2,2,3,,,
320fa227-a1f2-4f94-b648-9b56f4041112,Creative Collective,Black Mn Bloggers & Creatives,Print Magazine,Lifestyle & Communities Magazines,0 ratings,0 ,29,33,2,,,
f011bdf6-52a6-46b7-941c-44c25bc5a506,Creative Machine Embroidery,"Peak Media Properties, LLC",Kindle Edition,Knitting eMagazines,52 ratings,52 ,26,19,3,,,
eba19c65-056f-4a14-a702-13a635b924d4,National Geographic Little Kids,National Geographic Partners,Kindle Edition,Children's & Teens' eMagazines,"3,437 ratings","3,437 ",28,30,6,,,
cdac7a94-91b2-4806-afa9-cccd3ebeef84,Infinity Magazine,Ghoulish Publishing,Kindle Edition,"Literary, Sci-Fi & Mystery eMagazines",28 ratings,28 ,19,37,3,,,
76df4046-a610-4756-a2c6-cb302f725697,Practical Wireless Magazine,Warners Group,Kindle Edition,Kindle Newsstand (Kindle Store),16 ratings,16 ,13,31,3,,,
664f5606-6f1a-4393-8003-b603de6995f9,Radio User Magazine,Warners Group,Kindle Edition,Kindle Newsstand (Kindle Store),24 ratings,24 ,13,31,3,,,
90c08148-9a8f-47fb-b312-af22cc538699,Power Wrestling Magazin,Power Video Verlag,Kindle Edition,Extreme Sports eMagazines,2 ratings,2 ,18,25,2,,,
3aa3b13e-50d3-4364-a344-74ee03fe448c,Mate Magazin,DAA GmbH,Kindle Edition,Men's Interests eMagazines,6 ratings,6 ,8,26,2,,,
b010ba86-7dcc-4b0d-8e89-b3dc649d420b,Unity Magazine,Unity World Headquarters,Kindle Edition,Humanities & Social Sciences eJournals,8 ratings,8 ,24,38,2,,,
3944446d-c5b4-4673-91ea-5fcffa4e8b4e,Wildfowl Carving Magazine,"Ampry Publishing, LLC",Kindle Edition,Craft & Hobby eMagazines,5 ratings,5 ,21,24,2,,,
c47e4df5-754e-438c-9197-2607c1c848cd,International Figure Skating,Laurea Media,Kindle Edition,Sports & Leisure eMagazines,5 ratings,5 ,12,27,2,,,
53b513aa-6a51-4d95-8fdd-b8d4802d6a11,Total 911,Future Publishing Ltd,Kindle Edition,Automotive eMagazines,6 ratings,6 ,21,21,2,,,
3288bc75-bd0c-4722-84b2-f3f2f64c509e,American Miniaturist,Ashdown Broadcasting,Kindle Edition,Craft & Hobby eMagazines,13 ratings,13 ,20,24,3,,,
413ca507-8e23-4188-8a4b-9c679af528cb,VOGUE German edition,Conde Nast Germany,Kindle Edition,Kindle Newsstand (Kindle Store),6 ratings,6 ,18,31,2,,,
939b85cb-434e-4117-830f-f6af152197fd,Classic Dirt Bike,Mortons Media Group Limited,Kindle Edition,Automotive eMagazines,4 ratings,4 ,27,21,2,,,
7c84ce12-fe85-4ec4-85f3-128ecec04160,National Geographic Traveller (UK),Absolute Publishing Ltd,Kindle Edition,eMagazines of the United Kingdom,6 ratings,6 ,23,32,2,,,
cb8fae29-08bf-4bcd-8b1a-904c06152963,Dog Friendly,Steve Bennett - Dog Friendly Ltd,Kindle Edition,Pets & Animals eMagazines,15 ratings,15 ,32,25,3,,,
21e5bb45-8cee-4a4e-aace-058213270fba,Simply Cards & Papercraft,Practical Publishing,Kindle Edition,NA,9 ratings,9 ,20,2,2,,,
9515f8a6-fe55-4f26-b921-54ca418a5f3f,Filmfare,Worldwide Media Private Limited,Kindle Edition,Tabloid eMagazines,8 ratings,8 ,31,18,2,,,
1d6b8ec7-b9b8-4750-b583-8b0f4eb37d1e,Magic Kingdom,Zenith Publishing,Kindle Edition,NA,4 ratings,4 ,17,2,2,,,
5a2f5fbc-328b-41ea-9d04-3e3db69475dd,Opera Now,Mark Allen Group,Kindle Edition,Music eMagazines,9 ratings,9 ,16,16,2,,,
2b5526cd-78ca-4f1f-8fa0-ca80cfdc34e6,International Piano,Mark Allen Group,Kindle Edition,NA,6 ratings,6 ,16,2,2,,,
0f9ca9dc-ed7a-4ef4-a254-9adab304d5b0,Canadian Running,Gripped Inc,Kindle Edition,Canadian eMagazines,4 ratings,4 ,11,19,2,,,
21d297d9-95b7-419d-95ad-fc5af9e0f6b7,Miniature Wargames,Warners Group,Kindle Edition,NA,13 ratings,13 ,13,2,3,,,
4f9053ef-fbba-4d3c-b4c7-6b98b2242d59,Irish World,The Irish World Newspaper,Kindle Edition,News & Political Commentary eMagazines,2 ratings,2 ,25,38,2,,,
a08c54d4-41c6-4969-bd73-24382444c4c1,AeroModeller,Doolittle Media,Kindle Edition,NA,7 ratings,7 ,15,2,2,,,
0c4eb0da-2229-47de-89b1-f14e82b1014a,TGO - The Great Outdoors Magazine,Kelsey Publishing,Kindle Edition,Outdoors & Nature eMagazines,4 ratings,4 ,17,28,2,,,
a96232ba-51a3-4cab-b3ce-35869c28386c,Fusion Flowers,Fusion Flowers Ltd,Kindle Edition,Craft & Hobby eMagazines,4 ratings,4 ,18,24,2,,,
afe881e2-659b-4a31-b087-62eb7665f275,VW Camper,Kelsey Publishing,Kindle Edition,NA,7 ratings,7 ,17,2,2,,,
b43b3613-2662-42a5-a748-f8bb31e811cf,Muy Historia - Espa‹¨«a,"GyJ Espana Ediciones, S.L. S. en C.",Kindle Edition,Kindle Newsstand (Kindle Store),7 ratings,7 ,35,31,2,,,
21ed0835-696e-4e6c-904b-caaf98b4396a,AFV Modeller,AFV Modeller,Kindle Edition,Kindle Newsstand (Kindle Store),9 ratings,9 ,12,31,2,,,
8cb62d83-ba5b-4a30-9d40-e9e7a77f1176,Cosmopolitan Mexico,Editorial Televisa SA de CV,Kindle Edition,NA,8 ratings,8 ,27,2,2,,,
85ee7c13-efb0-4c24-8cca-94f9fb6039d7,Camping,Warners Group,Kindle Edition,NA,8 ratings,8 ,13,2,2,,,
3161f98d-1013-430d-ae7a-d02a5d0a3688,Prospect,Prospect Publishing Ltd,Kindle Edition,"Literary, Sci-Fi & Mystery eMagazines",8 ratings,8 ,23,37,2,,,
62dd3bc4-995b-42e7-b500-b471f2cd3925,Model Military International,ADH Publishing,Kindle Edition,Kindle Newsstand (Kindle Store),17 ratings,17 ,14,31,3,,,
c63db4df-f35b-473b-828b-ccc0934cca3c,Caravan World,Adventures Group Holdings Pty Ltd,Kindle Edition,NA,1 rating,1,33,2,1,,,
2e9d46c6-85dd-4ff7-bd7e-760d05690541,COCINA DIEZ,"Hearst Magazines, S.L.",Kindle Edition,"Cooking, Food & Wine eMagazines",11 ratings,11 ,22,31,3,,,
d66e4b45-1a6d-4fe9-a7d1-93825882fb1b,BuildHome,Universal Wellbeing PTY Limited,Kindle Edition,Interior Design eMagazines,9 ratings,9 ,31,26,2,,,
ac7edbe7-d215-441a-a650-38129595ae6c,Casa Diez,"Hearst Magazines, S.L.",Kindle Edition,Decorating eMagazines,9 ratings,9 ,22,21,2,,,
3ff6e88a-3b95-4b15-9bd4-27296311d33b,Vogue Mexico,Conde Nast de Mexico SA de CV,Kindle Edition,Spanish Language eMagazines,6 ratings,6 ,29,27,2,,,
3d7100ae-3c99-4841-8c0f-1e98394335c6,Yachting Monthly UK,Future Publishing Ltd,Kindle Edition,Boating eMagazines,25 ratings,25 ,21,18,3,,,
7679e0a8-0e9c-45c2-947a-9601de4b78b6,Performance VW,Unity Media,Kindle Edition,NA,4 ratings,4 ,11,2,2,,,
efcb4a9a-c324-41b3-935c-037f541b000a,911 & Porsche World,CH Publications,Kindle Edition,Automotive eMagazines,4 ratings,4 ,15,21,2,,,
95415869-0344-4d31-93c2-3307ace20af2,Dirt Action,Universal Wellbeing PTY Limited,Kindle Edition,Automotive & Motorcycles eMagazines,0 ratings,0 ,31,35,2,,,
f5a38777-b8c8-49ea-99d7-59743ad820da,Volksworld,Kelsey Publishing,Kindle Edition,NA,5 ratings,5 ,17,2,2,,,
3f1f04f0-1594-4e07-b5dc-da0324984b0f,Performance BMW,Unity Media,Kindle Edition,NA,8 ratings,8 ,11,2,2,,,
1de4af9e-74de-42fa-aec5-cc8481f4dc43,Fairlady,Media 24 Ltd,Kindle Edition,Fashion & Style eMagazines,1 rating,1,12,26,1,,,
f0c7f84c-4d1a-45ea-8ba6-c8cbd96be7f6,Military Modelling Magazine,MyTime Media Ltd,Kindle Edition,NA,1 rating,1,16,2,1,,,
1d9043f4-c4e0-4bf3-9e00-4d1ba2d22212,Design Anthology,Fifth Black Media Limited,Kindle Edition,Design & Decoration eMagazines,4 ratings,4 ,25,30,2,,,
b47b2465-c035-4734-a39f-212dc1790642,Livingetc UK,Future Publishing Ltd,Kindle Edition,Home & Garden eMagazines,54 ratings,54 ,21,24,3,,,
77412e3d-1404-4503-8231-1bb76f157747,Australian Photography,Yaffa Publishing Group PTY LTD,Kindle Edition,Photography eMagazines,5 ratings,5 ,30,22,2,,,
bd1e3227-b1e9-45cd-ad92-7fea4cf71d69,Radio Control Rotor World,Doolittle Media,Kindle Edition,NA,4 ratings,4 ,15,2,2,,,
f597caa1-10a6-4209-818f-038ed2934279,Our Canada,Readers Digest Canada,Kindle Edition,Canadian eMagazines,2 ratings,2 ,21,19,2,,,
1e856001-07ac-4660-8d2e-4c1aa08540c0,Beijing Review,Beijing Review,Kindle Edition,NA,0 ratings,0 ,14,2,2,,,
625e8158-db39-4977-9d6f-e8220c072ba4,Cosmopolitan Espa‹¨«a,"Hearst Magazines, S.L.",Kindle Edition,NA,2 ratings,2 ,22,2,2,,,
bd4d7735-a80c-434f-8e5f-425b3b1ea561,Face the Current,Face the Current,Kindle Edition,Health eMagazines,0 ratings,0 ,16,17,2,,,
d20ca3cd-3a23-4c04-b967-368db6b748ce,Healthy Magazine,River Publishing,Kindle Edition,"Cooking, Food & Wine eMagazines",4 ratings,4 ,16,31,2,,,
c73d0384-f005-4c12-8086-3e8a6973172b,Britain at War Magazine,Key Publishing,Kindle Edition,"Science, History & Nature eMagazines",6 ratings,6 ,14,36,2,,,
fe401595-8f0c-4cfb-8cd5-6534c4eb66dc,Build It,Castle Media,Kindle Edition,NA,10 ratings,10 ,12,2,3,,,
93ee7739-87d2-42fe-ac51-16588ac1768f,Glamour South Africa,Content Nation Media (Pty) Ltd,Kindle Edition,Women's Lifestyle eMagazines,5 ratings,5 ,30,28,2,,,
95fe7a47-9157-4e96-828b-66d1ed3b747c,Wallpaper UK,Future Publishing Ltd,Kindle Edition,"Arts, Music & Photography eMagazines",15 ratings,15 ,21,36,3,,,
8adb8d7a-9369-4108-8b0b-af5373e5d10c,Classic Motorcycle Mechanics,Mortons Media Group Limited,Kindle Edition,Motorcycles eMagazines,18 ratings,18 ,27,22,3,,,
0377720f-37d6-463a-ba15-89c828a384e0,Gunmart,Aceville Publications Ltd,Kindle Edition,NA,4 ratings,4 ,25,2,2,,,
4c37808a-8a0d-442c-b569-f0ff04f6dd88,Practical Motorhome,Future Publishing Ltd,Kindle Edition,Outdoors & Nature eMagazines,31 ratings,31 ,21,28,3,,,
ae797d17-c061-4dc6-bdcc-a1fe70363e70,InStyle - Espa‹¨«a,RBA Revistas S.L.,Kindle Edition,Women's Fitness eMagazines,5 ratings,5 ,17,26,2,,,
ade6d809-0b42-475f-8610-e20ec9186211,Smart Photography,Next Gen Publishing Limited,Kindle Edition,NA,8 ratings,8 ,27,2,2,,,
40ccc4f3-d27b-4072-a7d1-ba32dc479f76,Conde Nast Traveller India,Conde Nast India Pvt. Ltd,Kindle Edition,"Travel, City & Regional eMagazines",1 rating,1,25,34,1,,,
f4fe74b0-3cc3-4550-b541-2d58c79fa202,Fast Bikes,Mortons Media Group Limited,Kindle Edition,Kindle Newsstand (Kindle Store),3 ratings,3 ,27,31,2,,,
02b6494f-9c9a-420f-a985-195fa022ab6c,Aviation News incorporating JETS Magazine,Key Publishing,Kindle Edition,Humanities & Social Sciences eJournals,5 ratings,5 ,14,38,2,,,
5c61bdd3-b39b-4823-9f0c-4a04431815c9,Forbes Africa,ABN Publishing Pty Ltd (trading as Forbes Africa),Kindle Edition,Business Life eMagazines,2 ratings,2 ,49,24,2,,,
16d108ba-5391-41bc-9b5a-37f1de870063,Woman's Day Magazine NZ,Are Media Pty Limited,Kindle Edition,Women's Lifestyle eMagazines,14 ratings,14 ,21,28,3,,,
dd55a221-2e57-4d88-a7a2-d3cfbe9551b4,Woman UK,Future Publishing Ltd,Kindle Edition,Women's Lifestyle eMagazines,57 ratings,57 ,21,28,3,,,
